"","Altura","age","Est.DAP"
"1",11,0,1.501901696
"2",13,0.0383561643835616,1.3745521916274
"3",18.5,0.0767123287671233,1.19477693278356
"4",24,0.115068493150685,1.01620423546849
"5",25,0.156164383561644,0.899003187506849
"6",27,0.194520547945205,0.774074423873973
"7",31,0.23013698630137,0.62703262950137
"8",39,0.268493150684932,0.41583882850411
"9",47,0.30958904109589,0.19975222619726
"10",51,0.383561643835616,0.0364978330958904
"11",60,0.424657534246575,0.262667079027397
"12",70,0.46027397260274,0.487798054136986
"13",78,0.498630136986301,0.689480686679452
"14",85,0.53972602739726,0.881967541424657
"15",114,0.575342465753425,1.36124879794521
"16",150,0.613698630136986,1.93554689041096
"17",225,2.25753424657534,6.10474136
"18",260,3.14794520547945,8.03389457532877
"19",300,3.55342465753425,8.97851432639726
"20",350,3.78082191780822,9.59312971895891
"21",400,4.50958904109589,10.8539710583288
"22",420,4.99178082191781,11.5597055110411
"23",445,5.56164383561644,12.3221572945753
"24",445,5.98356164383562,12.8664029902466
"25",500,6.93972602739726,13.8546329456301
"26",515,7.42465753424658,14.3165492707397
"27",580,7.61643835616438,14.1105672104658
"28",580,8.0986301369863,14.5470242267945
"29",580,8.45205479452055,14.8669273808082
"30",17,0,1.40996744
"31",17.5,0.0383561643835616,1.30609345661644
"32",18,0.0767123287671233,1.20232879700822
"33",19,0.115068493150685,1.09117625883836
"34",21,0.156164383561644,0.958512275736986
"35",28,0.194520547945205,0.759306475591781
"36",35,0.23013698630137,0.568366896109589
"37",42,0.268493150684932,0.372167499786301
"38",77,0.383561643835616,0.406455427506849
"39",85,0.424657534246575,0.615467219780822
"40",91,0.46027397260274,0.782018358750685
"41",120,0.498630136986301,1.27332969734247
"42",133,0.53972602739726,1.54360118802192
"43",160,0.575342465753425,1.9906446889589
"44",170,0.613698630136986,2.20701080230137
"45",18,0,1.394645064
"46",26,0.0410958904109589,1.16997654532877
"47",36,0.115068493150685,0.836271379380822
"48",40,0.156164383561644,0.675844106643836
"49",44,0.191780821917808,0.529684711315068
"50",46,0.23013698630137,0.407036129282192
"51",46,0.271232876712329,0.307289270939726
"52",52,0.306849315068493,0.134155278926027
"53",60,0.345205479452055,0.0729935423835617
"54",89,0.424657534246575,0.67191524230137
"55",400,1.98904109589041,7.27934711476713
"56",400,2.87671232876712,8.53823641663014
"57",400,3.28493150684932,9.11717007705479
"58",400,3.51232876712329,9.43966332413699
"59",400,4.24109589041096,10.4731958991233
