"","ID Monitoreo","Fecha","Personal","Código","Código control","Tratamiento","Agua inicial","Altura","Crecimiento","Tasa de crecimiento","Tasa de crecimiento acumulada","Herviboría","Estado","Nuevas hojas","Flores","Frutos","Diámetro","Zona","Familia","Genero","Especie","Nombre común","Observaciones","Isla","Sitio específico","Latitud","Longitud","Sustrato","Altitud","Proyecto","Subproyecto","DAP","PlantingDate","age"
"16",12309,2014-05-28,"Estalin Jiménez",232,786,"Waterboxx®",15,150,36,2.57,0.62,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.613698630136986
"17",42176,2016-01-18,"Soledad Morán",232,786,"Waterboxx®",15,225,75,0.13,0.26,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,2.25753424657534
"18",65975,2016-12-08,"Volunteer",232,786,"Waterboxx®",15,260,35,0.11,0.22,"No",1,"Sí","Sí",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,3.14794520547945
"19",69180,2017-05-05,"Jandry Vasquez",232,786,"Waterboxx®",15,300,40,0.27,0.22,"No",1,"Sí","Sí",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,3.55342465753425
"20",78372,2017-07-27,"Jandry Vasquez",232,786,"Waterboxx®",15,350,50,0.6,0.25,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,3.78082191780822
"21",90973,2018-04-19,"Micaela Solis",232,786,"Waterboxx®",15,400,50,0.19,0.24,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","420","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,4.50958904109589
"22",96260,2018-10-12,"María Guerrero",232,786,"Waterboxx®",15,420,20,0.11,0.22,"No",1,"No","Sí",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,4.99178082191781
"23",102334,2019-05-08,"Paul Mayorga",232,786,"Waterboxx®",15,445,25,0.12,0.21,"No",1,"Sí","Sí",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,5.56164383561644
"24",106042,2019-10-09,"María Guerrero",232,786,"Waterboxx®",15,445,0,0,0.2,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,5.98356164383562
"25",114758,2020-09-22,"Paul Mayorga",232,786,"Waterboxx®",15,500,55,0.16,0.19,"No",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,6.93972602739726
"26",118111,2021-03-18,"Paul Mayorga",232,786,"Waterboxx®",15,515,15,0.08,0.19,"No",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,7.42465753424658
"27",122538,2021-05-27,"John Chango",232,786,"Waterboxx®",15,580,65,0.93,0.2,"No",1,"Sí","Sí",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","cap 26","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,7.61643835616438
"28",128892,2021-11-19,"John Chango",232,786,"Waterboxx®",15,580,0,0,0.19,"No",1,"Sí","Sí",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,8.0986301369863
"29",131255,2022-03-28,"John Chango",232,786,"Waterboxx®",15,580,0,0,0.18,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,8.45205479452055
"30",5958,2013-10-16,"Estalin Jiménez",234,787,"Waterboxx®",15,17,0,0,0,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0
