Codigo,Fecha,Personal,Equipo de Medida,Distancia,Angulo superior,Angulo inferior,Altura 1 (cm),Altura 2 (cm),Altura total (cm),Circunferencia Pecho (cm),DAP,Circunferencia Base (cm),DAB,Estado,Observaciones,Isla,Sitio específico,Latitud,Longitud,Altitud,
477,1/1/2021,Investigador,Metro,,,,,,900,45,14.32391138,,,Bueno,,Floreana,Anibal Sanmiguel,-1.297947,-90.447015,356.81,
479,1/1/2021,Investigador,Metro,,,,,,810,34,10.82251082,,,Bueno,,Floreana,Anibal Sanmiguel,-1.297945,-90.447039,356.85,
480,1/1/2021,Investigador,Metro,,,,,,810,38,12.09574739,,,Bueno,,Floreana,Anibal Sanmiguel,-1.297937,-90.447063,355.94,
482,1/1/2021,Investigador,Metro,,,,,,855,40,12.73236567,,,Bueno,,Floreana,Anibal Sanmiguel,-1.297931,-90.447119,355.35,
484,1/1/2021,Investigador,Metro,,,,,,755,46,14.64222052,,,Bueno,,Floreana,Anibal Sanmiguel,-1.297922,-90.447175,354.23,
485,1/1/2021,Investigador,Metro,,,,,,745,42,13.36898396,,,Bueno,,Floreana,Anibal Sanmiguel,-1.29792,-90.447201,354.07,
489,1/1/2021,Investigador,Metro,,,,,,625,32,10.18589254,,,Bueno,,Floreana,Anibal Sanmiguel,-1.297948,-90.447199,353.82,
522,1/1/2021,Investigador,Metro,,,,,,530,45,14.32391138,,,Bueno,,Floreana,Anibal Sanmiguel,-1.298,-90.447211,355.39,
525,1/1/2021,Investigador,Metro,,,,,,645,42,13.36898396,,,Bueno,,Floreana,Anibal Sanmiguel,-1.298019,-90.447143,355.76,
528,1/1/2021,Investigador,Metro,,,,,,785,36,11.45912911,,,Bueno,,Floreana,Anibal Sanmiguel,-1.298027,-90.447094,355.56,
9639,1/1/2021,Investigador,Metro,,,,,,610,40,12.73236567,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702461,-90.354467,176.88,
9646,1/1/2021,Investigador,Metro,,,,,,605,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702564,-90.35446,172.77,
9654,1/1/2021,Investigador,Metro,,,,,,581,36,11.45912911,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702683,-90.354555,171.15,
9655,1/1/2021,Investigador,Metro,,,,,,562,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702703,-90.354595,170.72,
9657,1/1/2021,Investigador,Metro,,,,,,460,25,7.957728546,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702782,-90.354506,165.71,
9664,1/1/2021,Investigador,Metro,,,,,,653,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702967,-90.354537,169.91,
9677,1/1/2021,Investigador,Metro,,,,,,760,43,13.6872931,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702857,-90.354405,172.4,
9680,1/1/2021,Investigador,Metro,,,,,,606,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702956,-90.354371,172.99,
9685,1/1/2021,Investigador,Metro,,,,,,478,24,7.639419404,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702683,-90.354402,175.72,
9694,1/1/2021,Investigador,Metro,,,,,,525,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702638,-90.354223,178.41,
9696,1/1/2021,Investigador,Metro,,,,,,545,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.70258,-90.354189,178.34,
9700,1/1/2021,Investigador,Metro,,,,,,500,31,9.867583397,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702503,-90.354344,176.95,
9706,1/1/2021,Investigador,Metro,,,,,,534,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702548,-90.354211,178.37,
9707,1/1/2021,Investigador,Metro,,,,,,488,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702603,-90.354215,180.21,
9714,1/1/2021,Investigador,Metro,,,,,,487,20,6.366182837,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702806,-90.354166,176.6,
9728,1/1/2021,Investigador,Metro,,,,,,550,25,7.957728546,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.70294,-90.354166,171.82,
9731,1/1/2021,Investigador,Metro,,,,,,745,25,7.957728546,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703032,-90.354084,169.53,
9736,1/1/2021,Investigador,Metro,,,,,,658,35,11.14081996,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702861,-90.35411,176.55,
9745,1/1/2021,Investigador,Metro,,,,,,650,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702645,-90.353716,175.4,
9749,1/1/2021,Investigador,Metro,,,,,,634,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.70275,-90.353631,176.07,
9758,1/1/2021,Investigador,Metro,,,,,,850,27,8.59434683,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703308,-90.354054,168.4,
9759,1/1/2021,Investigador,Metro,,,,,,760,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703302,-90.35403,168.78,
9762,1/1/2021,Investigador,Metro,,,,,,845,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.70327,-90.353882,172.27,
9765,1/1/2021,Investigador,Metro,,,,,,685,31,9.867583397,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703304,-90.353871,176.23,
9775,1/1/2021,Investigador,Metro,,,,,,700,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703244,-90.353844,177.53,
9786,1/1/2021,Investigador,Metro,,,,,,817,20,6.366182837,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703457,-90.353805,175.11,
9795,1/1/2021,Investigador,Metro,,,,,,830,30,9.549274255,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703415,-90.354082,173.08,
9796,1/1/2021,Investigador,Metro,,,,,,800,25,7.957728546,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.70335,-90.354057,174.4,
9798,1/1/2021,Investigador,Metro,,,,,,750,35,11.14081996,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703341,-90.354152,172.47,
9806,1/1/2021,Investigador,Metro,,,,,,453,25,7.957728546,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703244,-90.354342,172.7,
9807,1/1/2021,Investigador,Metro,,,,,,630,28,8.912655971,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703218,-90.354331,173.29,
9808,1/1/2021,Investigador,Metro,,,,,,652,35,11.14081996,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703189,-90.354306,173.36,
9809,1/1/2021,Investigador,Metro,,,,,,615,35,11.14081996,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.703187,-90.354257,172.16,
9817,1/1/2021,Investigador,Metro,,,,,,586,40,12.73236567,,,Bueno,,Santa Cruz,Finca Mario Piu,-0.702974,-90.354414,174.47,
14316,29/4/2022,Pavel Enriqez,-,,,,,,0,0,0,0,0,muerto, sin ramas ni hojas,Santa Cruz,Finca Mario Piu,-0.703258,-90.355538,174.37,
9796,29/4/2022,Pavel Enriqez,Clinómetro,240,70.8,41.3,689.2,140,829.2,56,12.60442843,53,16.87042748,Bueno,2 ramas ( 28 / 28),Santa Cruz,Finca Mario Piu,-0.70335,-90.354057,174.4,
9722,29/4/2022,Pavel Enriqez,Clinómetro,260,70.4,56.2,730.2,160,890.16,52,11.7127658,60,19.09859714,Bueno,2 ramas (27 / 25),Santa Cruz,Finca Mario Piu,-0.703023,-90.354196,173.28,
9745,29/4/2022,Pavel Enriqez,Clinómetro,317,45.2,34.5,319.2,220,539.2,68,15.31199592,64,20.37183695,Bueno,2 ramas (33/35),Santa Cruz,Finca Mario Piu,-0.702645,-90.353716,175.4,
14358,29/4/2022,Pavel Enriqez,Metro,,,,,,367,28.5,6.415740866,23,7.321128905,Bueno,"2 ramas: 14, 14.5",Santa Cruz,Finca Mario Piu,-0.703206,-90.354732,175.86,
9714,29/4/2022,Pavel Enriqez,Metro,,,,0,0,529,45.5,10.24666173,36,11.45915829,Bueno,"2 ramas: 22, 23.5",Santa Cruz,Finca Mario Piu,-0.702806,-90.354166,176.6,
9776,29/4/2022,Pavel Enriqez,Clinómetro,400,50.8,24.5,490.45,213,703.45,47.4,10.66960304,45.5,14.48310283,Bueno,"2 ramas: 23.4, 24",Santa Cruz,Finca Mario Piu,-0.703202,-90.353881,180.33,
9771,29/4/2022,Pavel Enriqez,Clinómetro,400,64.1,24.2,823.77,206,1029.77,54.3,12.29867184,51.5,16.39296255,Bueno,"2 ramas: 24.1, 30.2",Santa Cruz,Finca Mario Piu,-0.703067,-90.353707,179.28,
9767,29/4/2022,Pavel Enriqez,Clinómetro,370,63.3,24.3,735.66,168,903.66,38.5,8.958769402,39.2,12.47775013,Bueno,"2 ramas: 24.3, 14.2",Santa Cruz,Finca Mario Piu,-0.702807,-90.353955,169.02,
9688,29/4/2022,Pavel Enriqez,Clinómetro,500,49.5,19.7,585.42,188,773.42,57.4,13.09163326,60.5,19.25775212,Bueno,"2 ramas: 24, 33.4",Santa Cruz,Finca Mario Piu,-0.702795,-90.354275,174.08,
9728,29/4/2022,Pavel Enriqez,Clinómetro,500,46.4,18.2,525.05,182,707.05,47.4,10.74832143,41,13.05070805,Bueno,"2 ramas: 26.6, 20.8",Santa Cruz,Finca Mario Piu,-0.70294,-90.354166,171.82,
9652,29/4/2022,Pavel Enriqez,Metro,,,,,,589,49,11.04952607,44,14.00563791,Bueno,"2 ramas: 26,23",Santa Cruz,Finca Mario Piu,-0.702637,-90.354604,170.26,
9768,29/4/2022,Pavel Enriqez,Clinómetro,500,62.11,16.1,944.73,153,1097.73,73.5,14.45158433,58,18.46197724,Bueno,"2 ramas: 27, 36.5",Santa Cruz,Finca Mario Piu,-0.702849,-90.353909,173.18,
9710,29/4/2022,Pavel Enriqez,Clinómetro,500,48.7,17.9,569.14,170,739.14,53.9,12.18179046,42,13.369018,Bueno,"2 ramas: 29.4, 24.5",Santa Cruz,Finca Mario Piu,-0.702672,-90.353987,179.22,
9731,29/4/2022,Pavel Enriqez,Clinómetro,500,57.1,24.3,772.88,204,976.88,56.6,12.74909576,44.5,14.16479288,Bueno,"2 ramas: 29.4, 27.2",Santa Cruz,Finca Mario Piu,-0.703032,-90.354084,169.53,
9759,29/4/2022,Pavel Enriqez,Clinómetro,180,77.5,47.9,811.93,169,980.93,63.6,14.33547013,58.4,18.58930122,Bueno,"2 ramas: 30.1, 33.5",Santa Cruz,Finca Mario Piu,-0.703302,-90.35403,168.78,
9721,29/4/2022,Pavel Enriqez,Clinómetro,340,57.7,33.2,537.83,220,757.83,60,13.53472202,54,17.18873743,Bueno,"2 ramas: 32, 28",Santa Cruz,Finca Mario Piu,-0.703037,-90.354365,174.54,
9680,29/4/2022,Pavel Enriqez,Clinómetro,500,50,16.1,595.88,162,757.88,64.5,13.84648005,52,16.55211753,Bueno,"2 ramas: 33, 31.5",Santa Cruz,Finca Mario Piu,-0.702956,-90.354371,172.99,
