Código,Código control,Fecha siembra,Tratamiento,RetiroTratamiento,Agua inicial,Zona,Familia,Genero,Especie,Nombre común,Isla,Sitio específico,Latitud,Longitud,Sustrato,Altitud,Proyecto,Subproyecto
298,336,16/10/2013,Waterboxx®,14/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299561,-90.447335,Humífero,354.47,Restauración ecológica,Restauración rural
309,336,29/5/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299528,-90.447159,Humífero,353.92,Restauración ecológica,Restauración rural
310,332,29/5/2013,Waterboxx®,2/10/2013,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299539,-90.447195,Humífero,355.18,Restauración ecológica,Restauración rural
311,318,29/5/2013,Waterboxx®,30/10/2013,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299529,-90.447242,Humífero,354.63,Restauración ecológica,Restauración rural
312,316,29/5/2013,Waterboxx®,30/10/2013,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299534,-90.447261,Humífero,354.01,Restauración ecológica,Restauración rural
313,315,29/5/2013,Waterboxx®,30/10/2013,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299537,-90.447286,Humífero,354.31,Restauración ecológica,Restauración rural
314,347,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299537,-90.447286,Humífero,354.31,Restauración ecológica,Restauración rural
315,0,29/5/2013,Control,30/10/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299529,-90.447317,Humífero,353.96,Restauración ecológica,Restauración rural
316,0,29/5/2013,Control,13/11/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299533,-90.447344,Humífero,354.04,Restauración ecológica,Restauración rural
317,0,29/5/2013,Control,13/11/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299536,-90.447368,Humífero,353.79,Restauración ecológica,Restauración rural
318,0,29/5/2013,Control,30/10/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299542,-90.4474,Humífero,353.68,Restauración ecológica,Restauración rural
319,0,29/5/2013,Control,2/10/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299533,-90.447426,Humífero,353.55,Restauración ecológica,Restauración rural
320,346,16/10/2013,Waterboxx®,22/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299533,-90.447426,Humífero,353.55,Restauración ecológica,Restauración rural
324,345,16/10/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299506,-90.44742,Humífero,352.21,Restauración ecológica,Restauración rural
332,0,29/5/2013,Control,22/1/2014,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299499,-90.447216,Humífero,354.64,Restauración ecológica,Restauración rural
336,0,29/5/2013,Control,22/1/2014,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299478,-90.44714,Humífero,354.98,Restauración ecológica,Restauración rural
340,344,29/5/2013,Waterboxx®,30/10/2013,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299473,-90.447272,Humífero,355.48,Restauración ecológica,Restauración rural
341,319,29/5/2013,Waterboxx®,30/10/2013,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299475,-90.447295,Humífero,354.99,Restauración ecológica,Restauración rural
342,317,29/5/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299476,-90.44731,Humífero,355.21,Restauración ecológica,Restauración rural
343,241,29/5/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299468,-90.447348,Humífero,355.01,Restauración ecológica,Restauración rural
344,0,29/5/2013,Control,30/10/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299467,-90.447353,Humífero,353.97,Restauración ecológica,Restauración rural
345,0,29/5/2013,Control,30/10/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299469,-90.447384,Humífero,355.15,Restauración ecológica,Restauración rural
346,0,29/5/2013,Control,30/10/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299464,-90.447408,Humífero,354.48,Restauración ecológica,Restauración rural
